,Text,Label
0,Chưa thang máy Chưa chấp toán thẻ Địa bày trí tre nứa mát mẻ lễ tân nhiệt tình niềm nở thân thiện bụng cực kỳ Tôi phòng 1 giường đôi đi 2 ks chủ động chuẩn 1 giường tầng 2 bé Phòng rộng rãi bày trí đẹp giường êm vệ sinh cực sạch Vị trí thuận lợi di Bạn lễ tân giới thiệu ngon đường Lê Thị Riêng Nguyễn Trãi Tóm Nguyễn Shack xứng giới thiệu bè ,1
1,Chúng thoải mái 1 cúp điện 3 4 Thang máy nóng chậm chạp Bữa tuyệt Phòng ngủ tiện nghi đẹp Nhân viên phục phụ ,0
2,Nhân viên nhiệt tình thân thiện giúp đỡ Giường ngủ êm thoải mái gian phòng rộng rãi Rất đồ Nhà hàng Vỹ Dạ ,1
3,Khách sạn phương tiên công cộng ví dụ bến xe miền Tây thể bắt bus 14 chỗ trạm đường Huyền Trân Công Chúa thể đi cỡ 300 m Nhân viên nhẹn check in check out tốn cỡ 5 phút Phòng ốc sạch gọn gàng giường mền gối êm mềm Mặc tắm 3 phòng tầng sợ chờ đợi phòng phòng tắm ,1
4,Sạch thuận tiện nhân viên thân thiện giường gra sạch thoải mái ,1
5,Không chê Nhân viên vui vẻ ,1
6,Khăn tắm thay hằng phòng mùi thơm tinh dầu thoải mái ,0
7,Nên thống nhiệt độ hòa tất phòng thí dụ 28 độ hợp Khuyến cáo lạnh nóng Hoặc nhân viên sạn giải nhiệt độ phòng 28 độ ghi quảng cáo sạn Nhân viên thân thiện cởi thái độ nghỉ Công tắc đèn cạnh giường nằm giường thể bật tắt thuận lợi Nên cung quảng cáo tua du lịch chuyến đi phong phú ,-1
8,Giường tầng màn che móc treo đồ Phòng tắm khay đựng đồ dầu gội sữa tắm đồ phong phú kèm uống Địa hơi Nhân viên thân thiện tận tình chu đáo Thái độ phục vụ vui vẻ hòa nhã Giường êm Phòng vệ sinh sạch Các Phòng Các Địa danh Bắc Nam rất Địa Các khu vực uống ,1
9,Giường êm Đặc biệt mùi sảnh sạn thơm lắm hương dưa gang Phục vụ phòng chu đáo Reception lịch mến Phòng hình Đáng giá tiền ,1
10,Bữa ngon giường to rộng thoải mái nhân viên thân thiện nhiệt tình ,1
11,Không Phòng vệ sinh sạch nhân viên thân thiện thương Giường ngủ tư homestay ,1
12,Nhân viên tiếp đón ân vui vẻ thân thiện ,0
13,Siêu tuyệt vời Phòng sạch cối phục vụ thân thiện thức ngon thuận tiện trung tâm thành phố ,1
14,1 Chỗ ngủ phòng dorm rèm che phụ nữ đi hơi bất tiện 2 Thái độ nhân viên lễ tân nữ đeo kính Mình phòng khăn tắm đem Đây chỗ đem khăn Nếu quy định sạn dặn check in Lúc check out book xe đi gấp Thế lễ tân bảo đem Mình khăn giường đấy dằn mặt khăn đền sạn 500 000 Lúc bực thể khăn sạn Mình nhắc Vậy đứng chờ mời phòng kiểm tra coi khăn đối chấp Làm căng miễn cưỡng đi KHÔNG BAO GIỜ QUAY LẠI vị trí trung tâm ,-1
15,Nơi sạch nhân viên thân thiện Sẽ trở lại,1
16,Dịch vụ ks sạch thuận tiện Hoàn toàn hài ,1
17,bữa tuyệt mọi gàn hoàn hảo sẽ sau,1
18,Khách sạn đẹp trọng Nhân viên thân thiện nhiệt tình Phòng sạch ,1
19,khong co ao choang tam khong co ban la quan ao san phong hoi moi len Sach se tien nghi Tien loi giao thong Nhan vien nhiet tinh Khach san co CINEMA de rat tuyet voi ,1
20,Giường rộng sạn sạch tiện nghi Tuy nhiên khu vực đông đúc tắc đường cạnh xây đường tàu điện ,1
21,noi that dep nhan vien de thuong,1
22,Phòng tắm ko cửa ngăn Tiện lợi co phòng phim KS,0
23,Tiện nghi phòng tiện nghi dịch vụ xứng tầm dịch vụ 4 giá tiền Nhân viên thân thiện nhiệt tình chuyên nghiệp tác phong,-1
24,Thực đơn bữa ko phong phú ko ngon món phở bò Tôi ko xứng đc gọi phở bò VN Trong phòng bồn tắm bé hệ thống nóng lạnh ko chỉnh Nhà vệ sinh hơi tối đèn 2 2 nhân viên nam hành lanh tầng 6 cửa thang máy lịch tối thiểu chào ko chào Nói Hyatt Đà Nẵng tiền Martini bar bầu khí đồ uống âm nhạc nhân viên phục vụ tất tuyệt vời Đặc biệt DJ 17 12 nhạc Vị trí sạn trung tâm đi tiện Khách sạn trung tâm yên tĩnh âm Nhân viên lễ tân sảnh thân thiện nhiệt tình ,0
25,Wifi đồ da dạng Nhân viên nhiệt tình thương Phòng sạch xinh Mặc nằm hẻm an ninh yên tâm Sẽ nhất,1
26,Phòng Corner 806 view hàng Sương Nguyệt Ánh đẹp Nhưng sân thượng cạnh bồn trông ngổn ngang Tưởng phòng bồn tắm Không snack minibar Gam màu đẹp nội thất trang nhã Không gian yên tĩnh ,1
27,Đồ Phòng tiện nghi giường thoải mái,0
28,Không phòng máy KH mượn công gấp Dép đi toilet hoa phòng ,-1
29,Không gian tuyệt vời phòng ốc đẹp Decor đẹp Service ,1
30,Cách âm cửa sổ nội thất ấn tượng Vị trí thể đi trung tâm bữa ngon chất 4 Tầng mái bể sục xông hơi mini bar view toàn cảnh công viên ấn tượng Note Địa thể xuất phát Drone ngắm khu vực trung tâm thành phố Hồ Chí Minh ,1
31,Căn phòng thoải mái sạch yên tĩnh,1
32,Không bữa phục vụ sạn Khách sạn sạch Phòng cửa sổ thoáng Nhân viên phục vụ nhiệt tình Địa sân bay TSN ,1
33,Phòng sạch nhân viên nhiệt tình đồ ngon lựa chọn,1
34,Taxi đi hotel nằm ngõ đi sạn Nhân viên thân thiện trang thiết phòng địa chợ bến thành cung dịch vụ đón sân bay chi phí hợp lý ,1
35,Trong phòng gương soi toàn thân gương phòng Gương soi toilet chi bất tiện Giường kệ móc treo đồ tuyệt Cô bé lể tân chi thương nhiệt tình Chỗ sạch thoải mái ,0
36,Vì bay chuyến tối SG check in muộn 1 ko nv gọi điện xác thông check in Mình gọi điện 1 nhân viên nam giọng ko mấy thiện cảm hơi dửng dưng thông phòng Thang máy bé bí Himalaya Phoenix SG đem mong đợi 1 hostel Mình phòng Family 4 phòng to bé hơi bí 1 chút 4 bọn thoải mái Các trang thiết sạch đẹp Đã sàn hành lang lau dọn cẩn thận sạch Bữa bánh mỳ trứng mỳ trứng bọn hài check out lựa trà thơm Chị chủ nhân viên hostel nhiệt tình niềm nở thân thiện Địa hostel trung tâm 1 tiện lợi đi Lần SG chắn ,1
37,Vòi hoa sen Tầng 1 6 thang máy đi Khách sạn nằm hẻm taxi Phòng rộng sạch Có trang máy sấy tóc bình nấu Nhân viên Vị trí trung tâm ồn ,1
38,Phòng dorm máy sấy mượn lễ tân Rất sạch Nhân viên cực kì thân thiện bữa ngon ,1
39,Ở khu trung tâm yên tĩnh ngủ quên 8 h 9 h sángNhân viên thương nhiệt tình lắm Phòng sạch thoải mái ,1
40,Cô chủ Bắc nice tư vấn nhiệt tình tour đi du lịch,0
41,Vị trí yên tĩnh phòng thoáng sạch Nhân viên thân thiện nhiệt tình,1
42,Giường đôi hơi 1 5 mx2 0 m Phòng cảm quan ảnh mạng Bữa món món ngon miệng Ông chủ ân chăm sóc hàng Tiện nghi phòng đầu tư nắn nót ,0
43,Bữa ngon mieng chu nhiet tinh hoa dong nhan vien lich su nhiet tinh luc tra phong de quen bop tien tiep tan thong bao tra lai phong sach se am cúng minh thich phong cach nhẹ nhàng de thuong nen chon phong màu tim dep nhu phim Han Quoc vay ong chu noi mời thiet ke Phap lam nen nhiu khach thich lam Lan ghe lai lan nua ,1
44,Hơi ồn Giường thoải mái phòng đẹp,0
45,Lúc mưa to nhân nhiên ướt tuyệt vời Nhân viên phục vụ khu vực hàng quán tiện ,0
46,Phòng hơi ks Bữa ngon,0
47,Nếu xà dầu gội kem đánh phòng tuyệt Giường sạch thoải mái giường rộng ngủ 2 ng Cô chủ thương bữa ngon tiện lợi Sẽ bè,1
48,Mọi Bùi Viện Hostel thân thiện nhiệt tình chủ chỗ ngon Về bữa dinh dưỡng phòng ốc vệ sinh sạch D Ưu hostel là phòng tập thể tư thoải mái Nếu dịp Sài Gòn định Bùi Viện Hostel,1
49,Bữa trứng ngon uống cà phê sữa chuối Cũng món bún xào hai trứng rán bánh mỳ Mấy nhân viên thân thiện bực bội Anh chủ hostel thân thiện nhiệt tình giúp đỡ ,1
50,Anh chủ hostel thương vô đối thân thiện nhiên thoải mái bè Nói hostel lắm hi hi Có hội ,1
51,Chỗ nghỉ yên tĩnh nằm khu phố Tây náo nhiệt chủ nhân viên nhiệt tình vui vẻ tuyệt vời Phòng xây vệ sinh hiện đại sạch ,1
52,Phòng nghỉ sạch gọn gàng thoáng mát giá rẻ Nhân viên chu đáo nhiệt tình Tầng ngắm thành phố rẩt đẹp Ngoài bữa miễn phí ngon miệng ,1
53,Mình trở khu an ninh phòng sạch nhân viên nhiệt tình ,1
54,Anh chi chu nha rat la than thien ,0
55,Không máy sấy tóc ,0
56,Bữa ngon nhân viên thân thiện ,1
57,Anh chủ thân thiện lắm Chỗ thoải mái,1
58,Thang máy 1 9 tầng bất tiện đợi Mọi tốt,0
59,Nội thất phòng trọng Giường thoải mái Thức phong phú Thái độ phục vụ chuyên nghiệp chu đáo ,1
60,Bữa ngon trung tâm dịch vụ chu đáo,1
61,Tiện nghi sạn no 1,0
62,Cánh âm lắm Sky bar ok Ăn trà chiều ổn,0
63,Nhân viên phục vụ thân thiện Tôi thoải mái nghỉ ks này,1
64,Hệ thống âm phòng hàng ks chế biến ngon nhiên hơi món lựa Vị trí ks tiện lợi đi view phòng hướng sông đẹp phòng ngủ sạch ,1
65,Nhân viên lễ tân Assistant front office manager thủ tục check in thân thiện Việt Nam Phòng sạch thoải mái Xứng nghiệm ,1
66,giường rộng êm nhân viên nhiệt tình quên đồ phòng sân bay đc ks đồ ra,1
67,Giường rộng,0
68,Ăn vẻ món,0
69,Tốt mong đợi,0
70,Có nhân viên tiếp tân thân thiện Những sạn thu tiền phòng 50 usd tiền cọc Chỗ thu 100 usd ,-1
71,Nhân viên thân thiện nhiệt tình ,0
72,Thiếu lược dao cạo râu phòng xã hơi Giường rộng thoải mái tiện nghi ổn thuận tiện ,1
73,Do chuyến bay đổi bay 2 liền vợ chồng check in khuya Tuy nhiên nhân viên lễ tân nhân viên phục vụ sạn niềm nở tận tình giúp đỡ cười thân thiện dưng bớt đi mệt mỏi ức chế suốt chuyến bay trải Phòng bọn tầm đẹp Từ sạn đi thăm quan quanh thành phố tiện lợi Nếu dịp Việt Nam Sài Gòn định sạn Hotel Intercontinental Cảm ơn giúp kỳ nghỉ mãn nguyện ,1
74,Tốc độ công độ hài hàng ,1
75,Mot vai yeu cau rieng thuc hien chua dung Tien loi nhan vien vui ve nhiet tinh nghiem tuc ,0
76,Không phàn nàn Resort đẹp yên tĩnh tuyệt,1
77,không hoạt động trẻ Nếu co kid s club gđ trở xuyên view sông,0
78,Phòng gọn gàng bố trí thuận lợi sinh hoạt phòng Nhân viên phục vụ nhiệt tình ,1
79,Hẻm vô nghỉ vô kinh khủng dơ phức tạp taxi chạy vòng 1 tiếng chỗ nghỉ ,-1
