,Text,Label
0,Rộng rãi KS vắng Các dịch vụ chất ,0
1,Địa thuận tiện vòng kính 1 5 km quán ngon,0
2,Phục vụ view đẹp vị trí,1
3,thuận tiện sạch vui vẻ hài lòng,1
4,Vị trí đẹp Có quán bar view đẹp Nhân viên thân thiện,1
5, Co view huong Ho sach se nhan vien tan tinh,1
6,Phòng ốc sạch giường thoải mái nhân viên thân thiện ,1
7,gần Hồ Tây view hồ lãng mạn đi dọc Hồ Tây món Hà Nội Phòng sạch đẹp tiện nghi view Hồ Tây tuyệt Phí thuê xe ô tô sạn đi Yên tử chùa Hương giá cáo nhiều,1
8,Hình thức thể quyết định nội dung H atildey tận hưởng cảm Với Tuyệt vời ,0
9,Tôi 4 Khi phòng phòng bụi Tối đi ngủ đi chăn drap kiến vàng nhỏ Vì tầng 9 vật dụng phòng tắm trà cafe Nhân viên lễ tân nhiệt tình ,-1
10,Tôi 2 định Tuy nhiên check in chẳng chẳng 1 khiêng hành lý phòng hic hành lý xe phòng nhân viên thương ,0
11,Tôi Khách sạn 1 phòng Premium khuyến m atildei Chudu24 So giá khuyến m atildei phòng ngỡ ngàng Sạch đẹp view đẹp Thái độ phục vụ nhân viên Chắc chắn dịch vụ sạn ,1
12,Tôi hài sạn đội ngũ nhân viên phục vụ nhiệt tình thân thiện Phòng rộng cảm giác thoải mái Nhân viên ân giúp đỡ tôi Lần đi du lịch Mytour phòng sạn ,1
13,Minh hài chất sạn phục vụ tận tình nhân viên Phòng rộng sạch tiện nghi Vi trí Khách sạn trung tâm tiện đi di Mình chuyến đi tuyệt vời ,1
14,Khách sạn đẹp hài tất dịch vụ chất phòng phục vụ nhân viên giá hợp lý phàn nàn nghỉ ngơi ,1
15,Khách sạn nằm trung tâm thành phố nằm đường vành đai Tuy nhiên sạn đẹp tọa lạc đường chạy vòng quanh hồ Tây Khách sạn phòng hướng biển rộng thoáng Đồ ngon phong phú Xung quanh sạn món ngon dịch vụ giải trí du lựa ,1
16,Chúng kỳ nghỉ 2 đêm sạn tuyệt vời Khi nâng phòng phòng đẹp cửa sổ hồ Với hơi trung tâm thành phố 1 chút hãng taxi quanh Nó bảo tàng dân tộc học sân bay Các nhân viên rất nhiệt tình Các bữa ngon lựa chọn,1
17,Phòng sạch đẹp tiện nghi view Hồ Tây tuyệt Khách sạn mặt đường tiện bắt taxi Bữa ngon món lựa ,1
18,Khách sạn Tuy nhiên dịch vụ chất sạn xứng tiền Vì hài trải 2 đêm sạn ,1
